"﻿""Includes Amazon Marketplace", Fulfillment by Amazon (FBA)," and Amazon Webstore transactions""",,,,,,,,,,,,,,,,,,
"All amounts in INR, unless specified

",,,,,,,,,,,,,,,,,,,,
Definitions:,,,,,,,,,,,,,,,,,,,,
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap.
",,,,,,,,,,,,,,,,,,,,
"Selling fees: Includes variable closing fees, per-item fees, and referral fees.",,,,,,,,,,,,,,,,,,,,
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, and sales tax collection fees.
",,,,,,,,,,,,,,,,,,,,
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID.",,,,,,,,,,,,,,,,,,,,
date/time,settlement id,type,order id,Sku,description,quantity,marketplace,fulfillment,order city,order state,order postal,product sales,shipping credits,promotional rebates,sales tax collected,selling fees,fba fees,other transaction fees,other,total
02-Sep-2014 9:57:19 AM GMT+00:00,6473698942,"Shipping Services
",ORDMM,URNSGGGMZWN44V0ET,Amazon Easy Ship Charges,,Amazon.in,Merchant,,,,0,0,0,0,0,0,0,-33.71,-33.71
02-Sep-2014 9:57:45 AM GMT+00:00,6473698942,"Order
",ORDMM,URNSGGGMZWN44V0ET,BlackBerry Q5 (Red),1,amazon.in,Merchant,Chennai,Tamilnadu,600106,7290,0,0,0,-772.59,0,-11.24,0,6506.17
03-Sep-2014 12:31:33 PM GMT+00:00,6476236932,"Refund
",ORDMMOD10041,URNSGGGMZWN44V0ET,Plantronics Back beat Go 2 (Black),1,amazon.in,Merchant,Bangalore,Karnataka,560078,-7290,0,0,0,1000,0,0,0,-6290
03-Sep-2014 8:45:24 PM GMT+00:00,6476236932,"Transfer
",,,To account ending with: ,,,,,,,0,0,0,0,0,0,0,-14545.83,-14545.83
04-Sep-2014 10:12:41 AM GMT+00:00,6476236932,"Shipping Services
",403-5716319-5369932,,Amazon Easy Ship Charges,,Amazon.in,Merchant,,,,0,0,0,0,0,0,0,-44.94,-44.94
04-Sep-2014 10:12:42 AM GMT+00:00,6476236932,"Shipping Services
",402-7549194-6456312,,Amazon Easy Ship Charges,,Amazon.in,Merchant,,,,0,0,0,0,0,0,0,-33.71,-33.71
